,0
0,alabama
1,alaska
2,arizona
3,arkansas
4,colorado
5,connecticut
6,delaware
7,florida
8,hawaii
9,idaho
10,illinois
11,indiana
12,iowa
13,kansas
14,kentucky
15,louisiana
16,maine
17,maryland
18,massachusetts
19,michigan
20,minnesota
21,mississippi
22,missouri
23,montana
24,nebraska
25,nevada
26,new hampshire
27,new jersey
28,new mexico
29,new york
30,north carolina
31,north dakota
32,ohio
33,oklahoma
34,oregon
35,pennsylvania
36,rhode island
37,south carolina
38,south dakota
39,tennessee
40,texas
41,utah
42,vermont
43,virginia
44,washington
45,west virginia
46,wisconsin
47,wyoming
